# BLASTN 2.13.0+
# Query: 1004944_110_-
# Database: B._subtilis_NC_000964.3.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
1004944_110_-	NC_000964.3	100.000	100	0	0	1	100	1004862	1004961	3.99e-48	185
# BLASTN 2.13.0+
# Query: 1008561_42_-
# Database: B._subtilis_NC_000964.3.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
1008561_42_-	NC_000964.3	100.000	100	0	0	1	100	1008479	1008578	3.99e-48	185
# BLASTN 2.13.0+
# Query: 1035272_45_-
# Database: B._subtilis_NC_000964.3.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
1035272_45_-	NC_000964.3	100.000	100	0	0	1	100	1035190	1035289	3.99e-48	185
# BLASTN 2.13.0+
# Query: 1040061_37_-
# Database: B._subtilis_NC_000964.3.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
1040061_37_-	NC_000964.3	100.000	100	0	0	1	100	1039979	1040078	3.99e-48	185
# BLASTN 2.13.0+
# Query: 1055135_36_-
# Database: B._subtilis_NC_000964.3.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
1055135_36_-	NC_000964.3	100.000	100	0	0	1	100	1055053	1055152	3.99e-48	185
# BLASTN 2.13.0+
# Query: 1070325_39_+
# Database: B._subtilis_NC_000964.3.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
1070325_39_+	NC_000964.3	100.000	100	0	0	1	100	1070408	1070309	3.99e-48	185
# BLASTN 2.13.0+
# Query: 1074602_44_+
# Database: B._subtilis_NC_000964.3.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
1074602_44_+	NC_000964.3	100.000	100	0	0	1	100	1074685	1074586	3.99e-48	185
# BLASTN 2.13.0+
# Query: 2905532_39_+
# Database: B._subtilis_NC_000964.3.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 1 hits found
